Price,District,DistrictCode,Size,StationDistance,BuildYear,Reform
82,新宿区,D04,45,8,2023,0
26,新宿区,D04,20,3,2001,0
44,新宿区,D04,40,2,1983,0
38,新宿区,D04,50,1,1981,1
27,新宿区,D04,20,3,2011,1
150,新宿区,D04,75,7,2017,0
34,新宿区,D04,35,7,1981,1
26,新宿区,D04,15,2,2002,0
26,新宿区,D04,25,4,2001,0
140,新宿区,D04,75,7,2017,0
36,新宿区,D04,30,4,2005,0
55,新宿区,D04,50,7,1981,1
27,新宿区,D04,20,1,2003,0
70,新宿区,D04,70,28,1998,0
68,新宿区,D04,60,5,2003,1
20,新宿区,D04,45,14,1981,0
23,新宿区,D04,20,7,2002,0
60,新宿区,D04,60,13,1996,1
49,新宿区,D04,40,4,1999,1
38,新宿区,D04,30,5,2017,0
38,新宿区,D04,20,7,2019,0
35,新宿区,D04,30,5,2007,0
27,新宿区,D04,30,9,1994,0
23,新宿区,D04,20,11,2001,0
38,新宿区,D04,30,4,2012,0
97,新宿区,D04,60,8,2000,1
16,新宿区,D04,20,3,1990,1
37,新宿区,D04,25,3,2014,0
50,新宿区,D04,35,2,2017,1
45,新宿区,D04,30,3,2008,0
36,新宿区,D04,20,3,2013,0
69,新宿区,D04,70,8,1988,1
140,新宿区,D04,75,3,2006,1
31,新宿区,D04,20,0,2003,0
17,新宿区,D04,15,8,1997,0
120,新宿区,D04,70,6,2006,0
110,新宿区,D04,65,5,2015,0
130,新宿区,D04,70,3,2017,0
42,新宿区,D04,30,2,2008,0
100,新宿区,D04,60,3,2019,0
90,新宿区,D04,55,3,2019,0
65,新宿区,D04,50,4,2010,1
27,新宿区,D04,30,5,1984,0
90,新宿区,D04,75,5,1984,1
15,新宿区,D04,20,4,1978,0
130,新宿区,D04,65,2,2015,1
75,新宿区,D04,65,6,2018,0
26,新宿区,D04,20,6,2003,0
44,新宿区,D04,30,4,2012,0
160,新宿区,D04,75,7,2018,0
69,新宿区,D04,55,8,2008,0
90,新宿区,D04,65,8,1999,0
120,新宿区,D04,70,9,2005,0
70,新宿区,D04,50,2,2007,0
51,新宿区,D04,40,6,2017,0
48,新宿区,D04,35,2,2018,0
110,新宿区,D04,65,4,2013,0
14,新宿区,D04,20,3,2003,0
28,文京区,D05,25,4,2011,0
42,文京区,D05,40,4,2011,0
20,文京区,D05,20,5,2001,0
23,文京区,D05,20,3,2000,0
14,文京区,D05,15,5,1995,0
21,文京区,D05,20,5,2007,0
9.3,文京区,D05,15,8,1985,0
25,文京区,D05,20,6,2008,1
84,文京区,D05,65,4,2010,1
96,文京区,D05,65,8,2011,0
24,文京区,D05,20,9,2008,0
32,文京区,D05,40,5,1986,0
41,文京区,D05,40,4,1983,1
18,文京区,D05,25,4,1989,1
31,文京区,D05,40,5,1991,0
24,文京区,D05,20,12,2010,0
42,文京区,D05,40,13,2015,0
35,文京区,D05,45,4,1984,0
60,文京区,D05,40,9,2005,0
23,文京区,D05,20,10,2000,0
100,文京区,D05,65,2,2003,0
73,文京区,D05,55,9,2005,0
77,文京区,D05,55,11,2017,0
120,文京区,D05,80,11,2017,0
95,文京区,D05,70,9,2014,0
60,文京区,D05,40,9,2005,1
130,文京区,D05,65,7,2019,0
99,文京区,D05,60,0,2012,0
24,文京区,D05,20,10,2005,0
210,文京区,D05,75,3,2023,0
22,文京区,D05,20,9,2003,0
100,文京区,D05,65,4,2005,1
